country_code,indicator_code,year,value
CMR,UNDP.HDI,2010,0.529
CMR,UNDP.HDI,2011,0.538
CMR,UNDP.HDI,2012,0.549
CMR,UNDP.HDI,2013,0.558
CMR,UNDP.HDI,2014,0.566
CMR,UNDP.HDI,2015,0.575
CMR,UNDP.HDI,2016,0.579
CMR,UNDP.HDI,2017,0.581
CMR,UNDP.HDI,2018,0.582
CMR,UNDP.HDI,2019,0.582
CMR,UNDP.HDI,2020,0.579
CMR,UNDP.HDI,2021,0.574
CMR,UNDP.HDI,2022,0.581
CMR,UNDP.HDI,2023,0.588
GHA,UNDP.HDI,2010,0.558
GHA,UNDP.HDI,2011,0.568
GHA,UNDP.HDI,2012,0.575
GHA,UNDP.HDI,2013,0.582
GHA,UNDP.HDI,2014,0.58
GHA,UNDP.HDI,2015,0.588
GHA,UNDP.HDI,2016,0.59
GHA,UNDP.HDI,2017,0.594
GHA,UNDP.HDI,2018,0.6
GHA,UNDP.HDI,2019,0.609
GHA,UNDP.HDI,2020,0.614
GHA,UNDP.HDI,2021,0.618
GHA,UNDP.HDI,2022,0.625
GHA,UNDP.HDI,2023,0.628
KEN,UNDP.HDI,2010,0.552
KEN,UNDP.HDI,2011,0.56
KEN,UNDP.HDI,2012,0.565
KEN,UNDP.HDI,2013,0.57
KEN,UNDP.HDI,2014,0.576
KEN,UNDP.HDI,2015,0.583
KEN,UNDP.HDI,2016,0.594
KEN,UNDP.HDI,2017,0.599
KEN,UNDP.HDI,2018,0.605
KEN,UNDP.HDI,2019,0.611
KEN,UNDP.HDI,2020,0.6
KEN,UNDP.HDI,2021,0.608
KEN,UNDP.HDI,2022,0.626
KEN,UNDP.HDI,2023,0.628
NGA,UNDP.HDI,2010,0.502
NGA,UNDP.HDI,2011,0.508
NGA,UNDP.HDI,2012,0.512
NGA,UNDP.HDI,2013,0.517
NGA,UNDP.HDI,2014,0.524
NGA,UNDP.HDI,2015,0.53
NGA,UNDP.HDI,2016,0.532
NGA,UNDP.HDI,2017,0.534
NGA,UNDP.HDI,2018,0.537
NGA,UNDP.HDI,2019,0.544
NGA,UNDP.HDI,2020,0.547
NGA,UNDP.HDI,2021,0.554
NGA,UNDP.HDI,2022,0.557
NGA,UNDP.HDI,2023,0.56
RWA,UNDP.HDI,2010,0.504
RWA,UNDP.HDI,2011,0.512
RWA,UNDP.HDI,2012,0.521
RWA,UNDP.HDI,2013,0.499
RWA,UNDP.HDI,2014,0.525
RWA,UNDP.HDI,2015,0.525
RWA,UNDP.HDI,2016,0.534
RWA,UNDP.HDI,2017,0.539
RWA,UNDP.HDI,2018,0.54
RWA,UNDP.HDI,2019,0.55
RWA,UNDP.HDI,2020,0.555
RWA,UNDP.HDI,2021,0.562
RWA,UNDP.HDI,2022,0.57
RWA,UNDP.HDI,2023,0.578
ZAF,UNDP.HDI,2010,0.669
ZAF,UNDP.HDI,2011,0.683
ZAF,UNDP.HDI,2012,0.696
ZAF,UNDP.HDI,2013,0.705
ZAF,UNDP.HDI,2014,0.713
ZAF,UNDP.HDI,2015,0.722
ZAF,UNDP.HDI,2016,0.722
ZAF,UNDP.HDI,2017,0.726
ZAF,UNDP.HDI,2018,0.732
ZAF,UNDP.HDI,2019,0.742
ZAF,UNDP.HDI,2020,0.724
ZAF,UNDP.HDI,2021,0.721
ZAF,UNDP.HDI,2022,0.737
ZAF,UNDP.HDI,2023,0.741
