country_code,indicator_code,year,value
CMR,ITU.IT_NET_USER,2024,46.25880051
GHA,ITU.IT_NET_USER,2024,72.17569733
KEN,ITU.IT_NET_USER,2024,34.97622513
NGA,ITU.IT_NET_USER,2024,41.21139908
RWA,ITU.IT_NET_USER,2024,31.70330048
ZAF,ITU.IT_NET_USER,2024,78.35759735
CMR,ITU.IT_NET_USER,2023,42.24380112
GHA,ITU.IT_NET_USER,2023,70.67430115
KEN,ITU.IT_NET_USER,2023,32.07040024
NGA,ITU.IT_NET_USER,2023,40.06399918
RWA,ITU.IT_NET_USER,2023,28.80579948
ZAF,ITU.IT_NET_USER,2023,78.33670044
CMR,ITU.IT_NET_USER,2022,40.12559891
GHA,ITU.IT_NET_USER,2022,69.91329956
KEN,ITU.IT_NET_USER,2022,29.40589905
NGA,ITU.IT_NET_USER,2022,39.14720154
RWA,ITU.IT_NET_USER,2022,28.01679993
ZAF,ITU.IT_NET_USER,2022,78.29319763
CMR,ITU.IT_NET_USER,2021,38.89260101
GHA,ITU.IT_NET_USER,2021,68.6
KEN,ITU.IT_NET_USER,2021,26.96290016
NGA,ITU.IT_NET_USER,2021,35.50979996
RWA,ITU.IT_NET_USER,2021,24.4416008
ZAF,ITU.IT_NET_USER,2021,74.96859741
CMR,ITU.IT_NET_USER,2020,37.69749832
GHA,ITU.IT_NET_USER,2020,62.51760101
KEN,ITU.IT_NET_USER,2020,24.7227993
NGA,ITU.IT_NET_USER,2020,31.88879967
RWA,ITU.IT_NET_USER,2020,23.8
ZAF,ITU.IT_NET_USER,2020,72.1128006
CMR,ITU.IT_NET_USER,2019,36.53919983
GHA,ITU.IT_NET_USER,2019,22.0732
KEN,ITU.IT_NET_USER,2019,22.6687733618171
NGA,ITU.IT_NET_USER,2019,29.74410057
RWA,ITU.IT_NET_USER,2019,21.3579998
ZAF,ITU.IT_NET_USER,2019,69.69689941
CMR,ITU.IT_NET_USER,2018,29.70000076
GHA,ITU.IT_NET_USER,2018,43.0
KEN,ITU.IT_NET_USER,2018,19.5
NGA,ITU.IT_NET_USER,2018,27.74370003
RWA,ITU.IT_NET_USER,2018,19.16659927
ZAF,ITU.IT_NET_USER,2018,62.40000153
CMR,ITU.IT_NET_USER,2017,23.2029719748646
GHA,ITU.IT_NET_USER,2017,37.88420105
KEN,ITU.IT_NET_USER,2017,17.82710075
NGA,ITU.IT_NET_USER,2017,25.87789917
RWA,ITU.IT_NET_USER,2017,17.2
ZAF,ITU.IT_NET_USER,2017,56.16740036
CMR,ITU.IT_NET_USER,2016,20.60000038
GHA,ITU.IT_NET_USER,2016,28.0
KEN,ITU.IT_NET_USER,2016,16.6
NGA,ITU.IT_NET_USER,2016,24.13750076
RWA,ITU.IT_NET_USER,2016,14.63710022
ZAF,ITU.IT_NET_USER,2016,54.0
CMR,ITU.IT_NET_USER,2015,18.29999924
GHA,ITU.IT_NET_USER,2015,23.0
KEN,ITU.IT_NET_USER,2015,16.5878548475992
